tempo,key,mode,danceability,energy,valence,acousticness,speechiness,liveness,loudness,duration_ms,popularity,is_hit
128.07,9,0,0.7659999999999999,0.7090000000000001,0.506,0.204,0.123,0.126,-6.471,211853,76,1
134.066,1,1,0.853,0.56,0.86,0.013,0.0406,0.0944,-4.961,206693,81,1
150.011,1,0,0.908,0.621,0.421,0.000282,0.102,0.0958,-6.638,177000,82,1
95.977,1,0,0.825,0.652,0.931,0.581,0.0802,0.0931,-3.1830000000000003,233713,85,1
95.977,1,0,0.825,0.652,0.931,0.581,0.0802,0.0931,-3.1830000000000003,233713,73,1
145.245,10,0,0.685,0.731,0.266,0.0292,0.414,0.369,-5.502999999999999,247867,68,1
100.418,4,1,0.609,0.378,0.515,0.835,0.438,0.28,-9.828,233720,82,1
124.944,11,1,0.584,0.7,0.438,0.117,0.0456,0.0939,-4.275,202747,79,1
99.945,0,0,0.654,0.76,0.41,0.0797,0.045,0.299,-3.669,200787,82,1
157.966,5,0,0.481,0.451,0.289,0.336,0.0347,0.0872,-6.095,295493,73,1
157.966,5,0,0.481,0.451,0.289,0.336,0.0347,0.0872,-6.095,295493,61,1
113.003,0,0,0.585,0.564,0.1369999999999999,0.0671,0.0515,0.135,-7.063,242253,83,1
107.949,9,0,0.705,0.769,0.583,0.113,0.0425,0.105,-5.526,213520,79,1
125.02,5,0,0.845,0.5670000000000001,0.7929999999999999,0.59,0.0956,0.0811,-8.118,205680,78,1
96.009,5,1,0.752,0.6779999999999999,0.583,0.085,0.0646,0.13,-5.421,231827,71,1
95.997,5,1,0.76,0.703,0.57,0.103,0.054,0.0913,-5.412000000000001,231827,58,1
95.997,5,1,0.76,0.703,0.57,0.103,0.054,0.0913,-5.412000000000001,231827,59,1
160.02,7,1,0.648,0.785,0.943,0.0561,0.165,0.148,-5.414,219200,70,1
160.078,7,1,0.647,0.8,0.942,0.0647,0.165,0.334,-5.384,219200,62,1
160.078,7,1,0.647,0.8,0.942,0.0647,0.165,0.334,-5.384,219200,56,1
134.05200000000002,9,1,0.807,0.887,0.961,0.0573,0.0503,0.124,-3.726,187920,72,1
134.064,9,1,0.8109999999999999,0.879,0.962,0.0476,0.0514,0.109,-3.724,188754,63,1
144.032,1,1,0.774,0.7559999999999999,0.931,0.0423,0.0389,0.305,-4.995,224840,79,1
144.062,1,1,0.743,0.807,0.899,0.0435,0.0364,0.309,-3.78,224773,68,1
143.996,1,1,0.736,0.847,0.915,0.358,0.0756,0.101,-4.287,223854,63,1
119.93,8,1,0.422,0.264,0.331,0.922,0.0322,0.132,-7.064,269560,86,1
84.87799999999999,7,1,0.674,0.428,0.337,0.121,0.122,0.132,-9.504,190185,76,1
84.87799999999999,7,1,0.674,0.428,0.337,0.121,0.122,0.132,-9.504,190185,73,1
179.984,7,0,0.5539999999999999,0.772,0.455,0.00487,0.0418,0.354,-4.8210000000000015,223546,75,1
90.00299999999999,7,0,0.6709999999999999,0.7709999999999999,0.436,0.00492,0.0316,0.354,-4.8210000000000015,223546,73,1
72.795,0,1,0.612,0.28,0.387,0.932,0.0434,0.088,-8.648,213827,83,1
137.825,0,1,0.452,0.794,0.282,0.0111,0.0483,0.416,-5.151,196664,58,1
143.994,5,1,0.726,0.698,0.867,0.049,0.0431,0.309,-4.165,233478,82,1
91.972,11,0,0.564,0.71,0.393,0.00125,0.0461,0.109,-4.92,225147,67,1
91.972,11,0,0.564,0.71,0.393,0.00125,0.0461,0.109,-4.92,225147,58,1
91.993,11,0,0.5539999999999999,0.669,0.405,0.00108,0.0426,0.138,-6.041,225200,57,1
91.972,11,0,0.564,0.71,0.393,0.00125,0.0461,0.109,-4.92,225147,55,1
92.998,5,0,0.718,0.82,0.613,0.0444,0.0323,0.0846,-3.4530000000000003,219467,67,1
92.998,5,0,0.718,0.82,0.613,0.0444,0.0323,0.0846,-3.4530000000000003,219467,46,1
85.984,7,1,0.628,0.6759999999999999,0.75,0.00957,0.0916,0.102,-5.9110000000000005,191880,64,1
85.984,7,1,0.628,0.6759999999999999,0.75,0.00957,0.0916,0.121,-5.9110000000000005,193147,76,1
85.984,7,1,0.628,0.6759999999999999,0.75,0.00957,0.0916,0.102,-5.9110000000000005,191880,58,1
103.976,0,1,0.747,0.937,0.7390000000000001,0.0208,0.0453,0.29,-5.746,224653,77,1
103.992,0,1,0.754,0.933,0.75,0.0199,0.0448,0.297,-5.7860000000000005,225000,61,1
120.021,7,1,0.7829999999999999,0.58,0.66,0.0114,0.0408,0.108,-6.547999999999999,193400,69,1
120.031,7,1,0.7829999999999999,0.584,0.632,0.0109,0.0409,0.108,-6.572,193467,51,1
116.044,0,1,0.562,0.939,0.684,0.046,0.0475,0.112,-4.282,221947,66,1
116.012,0,1,0.555,0.923,0.682,0.0411,0.0482,0.112,-5.908,221920,49,1
130.028,5,1,0.6779999999999999,0.918,0.769,0.000417,0.0355,0.0744,-4.63,216160,72,1
130.01,5,1,0.667,0.922,0.7609999999999999,0.000354,0.0353,0.0867,-4.645,216160,63,1
108.003,2,0,0.61,0.6829999999999999,0.466,0.00382,0.0253,0.125,-3.879,241693,76,1
130.02100000000002,7,1,0.7070000000000001,0.861,0.795,0.1,0.316,0.191,-4.225,199480,62,1
135.109,9,1,0.5589999999999999,0.33,0.285,0.892,0.0285,0.0975,-8.251,285040,79,1
126.023,3,0,0.652,0.812,0.72,0.00125,0.0409,0.667,-3.797,230733,67,1
126.03,3,0,0.649,0.815,0.765,0.00125,0.0415,0.6709999999999999,-3.796,230747,74,1
126.023,3,0,0.6509999999999999,0.812,0.72,0.00125,0.0409,0.667,-3.797,230733,49,1
126.023,3,0,0.652,0.812,0.72,0.00125,0.0409,0.667,-3.797,230733,41,1
104.945,8,1,0.7290000000000001,0.7559999999999999,0.522,0.131,0.0294,0.0527,-5.119,228293,75,1
104.948,8,1,0.73,0.77,0.507,0.138,0.0298,0.0473,-5.114,228093,57,1
104.941,8,1,0.727,0.76,0.54,0.13,0.0297,0.0584,-5.114,228141,62,1
123.907,11,1,0.5870000000000001,0.828,0.494,0.00327,0.161,0.331,-5.1080000000000005,260253,67,1
123.905,11,1,0.586,0.8270000000000001,0.508,0.0037,0.15,0.328,-5.102,260253,51,1
164.02,2,0,0.684,0.8340000000000001,0.5379999999999999,0.0646,0.0675,0.271,-4.524,217667,75,1
110.443,2,0,0.706,0.5579999999999999,0.227,0.146,0.0593,0.118,-7.237,223253,75,1
132.97299999999998,0,0,0.648,0.722,0.389,0.0103,0.0427,0.24,-4.813,228827,59,1
124.071,8,1,0.638,0.8320000000000001,0.648,0.141,0.049,0.113,-5.039,227893,65,1
124.072,8,1,0.638,0.826,0.649,0.139,0.0479,0.0803,-4.968,227880,73,1
124.071,8,1,0.638,0.8320000000000001,0.648,0.141,0.049,0.113,-5.039,227893,50,1
122.019,7,1,0.7,0.7090000000000001,0.625,0.0048,0.0839,0.0289,-5.006,202960,77,1
125.911,11,0,0.789,0.706,0.638,0.112,0.0429,0.0586,-4.2330000000000005,235493,72,1
125.921,11,0,0.7859999999999999,0.716,0.595,0.102,0.0409,0.0557,-4.253,235520,58,1
125.919,11,0,0.7879999999999999,0.71,0.632,0.113,0.0426,0.0638,-4.24,235493,54,1
109.012,5,1,0.637,0.843,0.434,0.0151,0.0432,0.0876,-5.412999999999999,220733,81,1
120.011,10,1,0.7190000000000001,0.7979999999999999,0.591,0.0162,0.0361,0.134,-4.582,227741,66,1
119.999,10,1,0.7190000000000001,0.804,0.605,0.0132,0.0355,0.139,-4.581,227760,69,1
120.011,10,1,0.7190000000000001,0.7979999999999999,0.591,0.0162,0.0361,0.134,-4.582,227741,43,1
114.635,0,0,0.855,0.954,0.6679999999999999,0.529,0.264,0.205,-1.19,248133,79,1
114.64,0,0,0.852,0.955,0.65,0.537,0.275,0.356,-1.206,248133,41,1
173.90599999999995,11,1,0.563,0.75,0.812,0.113,0.127,0.0788,-4.496,222920,73,1
173.917,3,0,0.561,0.747,0.774,0.118,0.171,0.0682,-4.471,222987,48,1
180.114,3,1,0.512,0.662,0.472,0.0275,0.0439,0.118,-6.7970000000000015,228347,79,1
144.036,11,1,0.615,0.711,0.711,0.0444,0.0779,0.145,-5.5070000000000014,221253,68,1
144.036,11,1,0.615,0.711,0.711,0.0444,0.0779,0.145,-5.5070000000000014,221253,61,1
134.91,5,0,0.6970000000000001,0.7090000000000001,0.787,0.0452,0.0455,0.138,-1.917,213173,63,1
118.999,4,1,0.851,0.8059999999999999,0.787,0.118,0.0787,0.121,-4.62,237200,72,1
118.999,4,1,0.851,0.8059999999999999,0.787,0.118,0.0787,0.121,-4.62,237200,54,1
119.001,4,1,0.851,0.8059999999999999,0.7759999999999999,0.12,0.0786,0.121,-4.618,237200,43,1
124.986,7,1,0.72,0.672,0.705,0.009,0.0551,0.232,-6.852,204640,74,1
124.986,7,1,0.72,0.672,0.705,0.009,0.0551,0.232,-6.852,204640,46,1
144.982,9,1,0.526,0.882,0.424,0.0014,0.0509,0.144,-4.006,211493,67,1
144.982,9,1,0.526,0.882,0.424,0.0014,0.0509,0.144,-4.006,211493,51,1
150.053,9,0,0.68,0.687,0.467,0.0161,0.0709,0.261,-6.162000000000001,249533,75,1
149.994,0,1,0.68,0.672,0.495,0.0202,0.0814,0.224,-6.199,249533,44,1
139.0,11,1,0.7240000000000001,0.695,0.235,0.073,0.0622,0.0889,-5.226,224400,76,1
126.019,11,0,0.534,0.87,0.462,0.000329,0.0425,0.241,-3.0780000000000003,215160,76,1
124.921,11,0,0.7070000000000001,0.813,0.722,0.0863,0.0571,0.168,-4.515,238627,76,1
129.996,5,1,0.6990000000000001,0.76,0.696,0.00223,0.0677,0.132,-3.173,179640,69,1
129.996,5,1,0.6990000000000001,0.76,0.696,0.00223,0.0677,0.132,-3.173,179640,45,1
129.976,9,0,0.6809999999999999,0.753,0.757,0.00218,0.0932,0.0714,-3.23,180947,45,1
138.015,5,0,0.486,0.617,0.417,0.0954,0.0287,0.109,-7.115,242373,80,1
138.015,5,0,0.486,0.617,0.417,0.0954,0.0287,0.109,-7.115,242373,48,1
82.08200000000002,9,1,0.6970000000000001,0.467,0.5720000000000001,0.248,0.0715,0.0941,-7.536,229413,77,1
104.036,5,1,0.638,0.6559999999999999,0.225,0.188,0.0357,0.146,-5.886,262467,78,1
104.054,5,1,0.635,0.647,0.203,0.192,0.0351,0.154,-5.865,262693,69,1
104.038,5,1,0.642,0.6659999999999999,0.195,0.166,0.0333,0.146,-5.29,262293,48,1
78.502,4,0,0.715,0.665,0.84,0.0996,0.0502,0.224,-7.7360000000000015,204733,60,1
90.042,1,0,0.644,0.5479999999999999,0.166,0.0209,0.0286,0.134,-5.416,253813,80,1
103.992,10,0,0.617,0.7170000000000001,0.49,0.00564,0.153,0.408,-7.858,311867,81,1
103.96,1,1,0.617,0.708,0.462,0.0065099999999999,0.15,0.404,-7.872999999999997,312027,52,1
113.082,7,1,0.708,0.6409999999999999,0.253,0.205,0.0335,0.0945,-4.296,268120,75,1
113.082,7,1,0.708,0.6409999999999999,0.253,0.205,0.0336,0.0925,-4.271,268120,45,1
130.009,1,0,0.762,0.6609999999999999,0.769,0.15,0.0687,0.256,-6.075,225373,78,1
129.995,9,1,0.745,0.6659999999999999,0.708,0.159,0.0566,0.302,-5.899,241933,61,1
103.971,2,1,0.6559999999999999,0.291,0.298,0.872,0.0293,0.114,-10.572,232533,81,1
103.879,2,1,0.522,0.453,0.306,0.831,0.0295,0.101,-7.859,233280,63,1
103.979,2,1,0.512,0.369,0.324,0.8859999999999999,0.0308,0.118,-11.22,232293,43,1
113.996,7,1,0.8029999999999999,0.851,0.8809999999999999,0.00485,0.0357,0.0577,-2.4290000000000003,211080,56,1
163.983,7,1,0.56,0.959,0.67,0.0007379999999999,0.102,0.209,-2.4330000000000003,216600,76,1
125.232,2,1,0.7979999999999999,0.443,0.354,0.244,0.0403,0.326,-6.062,293053,66,1
125.261,2,1,0.795,0.456,0.375,0.231,0.04,0.228,-6.064,293067,43,1
80.021,8,1,0.621,0.6,0.485,0.277,0.5760000000000001,0.495,-6.349,253707,60,1
76.0,7,1,0.687,0.723,0.4320000000000001,0.122,0.0709,0.573,-4.751,448573,71,1
75.99600000000002,7,1,0.685,0.725,0.381,0.13,0.177,0.5920000000000001,-4.791,448533,59,1
116.95,1,1,0.871,0.8690000000000001,0.8340000000000001,0.0409,0.139,0.053,-6.308,223080,58,1
116.948,1,1,0.872,0.872,0.809,0.0476,0.139,0.0543,-6.327999999999999,223080,71,1
116.943,1,1,0.873,0.8690000000000001,0.7979999999999999,0.047,0.133,0.0463,-6.238,223520,48,1
117.0,7,0,0.967,0.583,0.964,0.0584,0.0789,0.0519,-5.562,242733,77,1
117.0,7,0,0.967,0.599,0.964,0.0679,0.0706,0.0526,-5.659,242800,57,1
90.951,1,1,0.769,0.609,0.633,0.216,0.357,0.166,-5.894,241307,63,1
137.046,7,1,0.677,0.6709999999999999,0.527,0.004,0.0361,0.413,-4.905,238920,70,1
140.046,3,1,0.599,0.785,0.52,0.448,0.0309,0.151,-4.013,233640,76,1
140.028,3,1,0.583,0.667,0.53,0.27,0.029,0.1669999999999999,-7.351,233920,43,1
125.04,0,0,0.951,0.6,0.8220000000000001,0.106,0.0685,0.0712,-4.675,218573,77,1
92.791,6,1,0.452,0.574,0.58,0.246,0.31,0.189,-8.336,207187,77,1
81.99799999999998,0,0,0.675,0.479,0.454,0.633,0.0278,0.088,-9.87,209493,77,1
81.971,0,0,0.679,0.54,0.449,0.603,0.026,0.0905,-7.457000000000002,213053,44,1
77.499,7,0,0.8909999999999999,0.439,0.622,0.0351,0.428,0.0932,-7.994,224253,66,1
77.50399999999998,0,0,0.8909999999999999,0.428,0.604,0.0394,0.428,0.0934,-8.033999999999999,224253,40,1
143.555,10,0,0.7,0.529,0.386,0.0422,0.0395,0.101,-6.816,233867,59,1
100.969,1,0,0.846,0.482,0.212,0.0246,0.129,0.393,-6.721,229867,71,1
139.986,0,1,0.8370000000000001,0.462,0.762,0.0339,0.0601,0.09,-7.89,201400,70,1
110.007,10,0,0.926,0.916,0.904,0.35,0.0929,0.0234,-2.221,199853,68,1
94.514,7,0,0.6559999999999999,0.578,0.556,0.235,0.0922,0.118,-8.97,256733,75,1
94.364,7,0,0.622,0.593,0.607,0.163,0.0916,0.0979,-8.352,249093,65,1
98.001,7,1,0.826,0.6859999999999999,0.413,0.00118,0.163,0.282,-5.346,268933,42,1
95.321,1,1,0.7829999999999999,0.916,0.695,0.11,0.415,0.0746,-3.344,247427,65,1
126.885,1,1,0.6990000000000001,0.929,0.679,0.0983,0.523,0.0491,-3.466,251653,37,1
